timestamp,Target1,Target2,Target3,Target4,Target5,Target6,Target7,Target8,Target9,Target10
1424523600000,511332,411961,427826,740877,264166,287253,276911,864049,360298,202021
1424524500000,513883,414537,430503,745692,266874,289232,279248,869559,365603,203656
1424525400000,517411,418252,433948,752103,269929,292228,282150,876780,372631,205915
1424526300000,519876,420385,436989,756875,272340,294892,284237,882733,378135,207955
1424527200000,522499,422195,439579,761897,274616,297439,286024,888106,384361,209791
1424528100000,524813,424324,443107,766777,277155,299875,287866,894134,391459,211321
1424529000000,526929,426227,445856,770617,279311,301963,289753,900165,397762,212819
1424529900000,529508,428166,448507,774177,281329,304051,291482,904998,404351,214345
1424530800000,534339,430635,451523,778385,284710,306904,293931,912846,413027,216437
1424531700000,536568,432042,453170,781669,287892,308343,295234,918824,419477,217762
1424532600000,538952,433552,455235,785238,290604,310207,296446,923679,425176,219033
1424533500000,540611,435088,457145,788296,292206,311808,297911,928475,430785,220135
1424534400000,541446,436340,459104,791384,294070,313554,299046,933260,436171,221127
1424537100000,544578,440356,463618,800397,298985,318385,302341,945799,452970,223608
1424538000000,544578,440356,463618,800397,298985,318385,302341,945799,452970,223608
1424538900000,545126,441552,465001,802456,300006,319466,302889,949164,457127,224231
1424539800000,545648,442511,466289,804604,301026,320776,303216,951613,460616,224767
1424540701000,546354,443438,467742,807595,302241,322249,303922,954260,464728,225343
1424541601000,546892,443880,468677,809646,302948,322847,304325,956475,467277,225701
1424542501000,547586,444270,469353,811215,303379,323307,304740,958315,469776,225996
1424543401000,548380,444730,470040,812512,303870,323741,305247,960045,471859,226281
1424544301000,548983,445264,470780,814003,304282,324160,306082,961296,473733,226498
1424545201000,549475,446199,471933,816349,304934,324587,306846,962795,476184,226811
1424546101000,549475,446199,471933,816349,304934,324587,306846,962795,476184,226811
1424547001000,549475,446199,471933,816349,304934,324587,306846,962795,476184,226811
1424547901000,549475,446199,471933,816349,304934,324587,306846,962795,476184,226811
1424548801000,550044,447673,473795,822942,305897,325851,308582,966411,481240,227682
1424549701000,550314,447988,474401,824704,306311,326208,308938,967421,482406,227910
1424550601000,550641,448101,474993,826482,306528,326381,309260,968313,483428,228125
1424551501000,550989,448413,475529,827970,306814,326744,309520,969098,484474,228296
1424552401000,551302,448783,476164,829630,307121,326922,309868,970078,485641,228461
1424553301000,551535,449357,476890,831749,307449,327113,310288,971346,486575,228630
1424554201000,551535,449357,476890,831749,307449,327113,310288,971346,486575,228630
1424555101000,551714,449648,477302,833136,307594,327222,310546,972062,487107,228731
1424556001000,551862,449876,477845,834468,307698,327403,310840,972773,488703,228817
1424556901000,552094,449999,478346,835791,307841,327542,311095,973425,490304,228927
1424557801000,552307,450294,479154,837965,308107,327681,311420,974264,493172,229128
1424558701000,552506,450452,479792,839571,308247,327931,311709,975081,495251,229286
1424559601000,552681,450788,480234,841094,308488,328206,312066,975887,497249,229418
1424560501000,552894,451076,480798,842640,308779,328512,312472,976669,499346,229587
1424561401000,553090,451454,481349,844203,309189,328817,312988,977713,500710,229744
1424562302000,553405,451912,482196,846458,309989,329290,313696,979405,504926,229934
1424563201000,553935,452201,483001,848077,310439,329649,314202,980646,507580,230213
1424564101000,554324,452661,483735,849817,310849,329957,314654,981683,510423,230414
1424565001000,554324,452661,483735,849817,310849,329957,314654,981683,510423,230414
1424565901000,554324,452661,483735,849817,310849,329957,314654,981683,510423,230414
1424566801000,555153,454002,485943,853764,312061,330871,316135,984529,517577,231016
1424567701000,555856,454859,487811,857245,312842,331481,317560,986977,523525,231612
1424568601000,556385,455604,488700,859225,313378,331947,318057,988654,528057,232007
1424569501000,556976,456271,489581,861337,313947,332417,318640,990321,532514,232362
1424570401000,557477,457145,490658,863473,314514,333118,319381,992270,537414,232842
1424571301000,558767,458454,492185,866798,315445,334111,320225,994649,543775,233493
1424572201000,558767,458454,492185,866798,315445,334111,320225,994649,543775,233493
1424573101000,559721,459408,493325,869197,315991,334754,320884,997028,548793,234054
1424574001000,560371,460488,494622,871743,316636,335347,321454,999158,554134,234512
1424574901000,560873,462005,495866,874481,317296,335918,322205,1001300,559199,234986
1424575801000,561497,463209,497408,876931,318104,336372,322888,1003392,564189,235508
1424576701000,562276,464852,499235,880282,318969,336963,323757,1006014,569634,236235
1424577601000,563020,465485,500512,883097,319517,337326,324471,1008149,573331,236689
1424578501000,563826,465969,501633,885910,320162,337889,325126,1010280,577147,237234
1424579401000,564675,466478,503401,888891,321357,338668,325907,1012124,581330,237855
1424580301000,565464,467131,505113,892041,322511,339569,326547,1014434,585950,238588
1424581201000,566389,468235,506822,894811,323452,340569,327492,1016609,591645,239374
1424582101000,568121,469398,509436,898450,325031,342090,328826,1019791,598495,240360
1424583001000,569565,470587,511263,900965,326303,343301,329834,1022266,604468,241034
1424583901000,570725,472055,513258,903727,328342,344662,331089,1024793,610623,241964
1424584801000,572125,474284,514842,906689,329843,346269,332207,1027504,616849,242898
1424585701000,572125,474284,514842,906689,329843,346269,332207,1027504,616849,242898
1424586602000,573596,477062,516855,910954,332055,348346,333676,1031353,625427,244165
1424587501000,575119,479015,518457,914545,333317,349848,334950,1033923,631432,244751
1424588401000,577237,480782,520118,918188,335105,351166,336421,1036595,637933,245780
1424589301000,579324,482165,522303,921636,337011,352797,338059,1039669,642593,246630
1424590201000,581424,483718,524575,925167,338485,354478,339739,1042654,650769,247390
1424591101000,584014,485909,527785,930163,341176,356950,341763,1046482,658791,248628
1424592001000,585396,487703,530363,934177,343183,358531,343005,1049412,664980,249561
1424592901000,586737,489373,532860,938122,345779,359980,344116,1052319,671049,250593
1424593801000,588294,491665,535042,942040,347956,361724,345266,1055781,676920,251874
1424594701000,590605,493915,537279,945865,349783,363581,346605,1059177,682359,252901
1424595601000,593193,495663,539851,950656,352534,366225,348714,1063338,688845,254019
1424596501000,594726,496782,541560,954594,355005,367840,350529,1066105,693351,254758
1424597401000,595655,498431,542981,958465,357064,369251,352164,1068968,697622,255510
1424598301000,596603,500104,544605,962006,358639,370723,353475,1071281,701282,256264
1424599201000,596603,500104,544605,962006,358639,370723,353475,1071281,701282,256264
1424600101000,598327,501797,546488,966573,360641,372480,355064,1073872,705903,257151
1424601001000,599774,503144,548066,968645,362127,373717,356640,1075977,708672,257873
1424601901000,601004,504208,549429,972981,363918,375009,357802,1078162,711688,258635
1424602801000,602111,505154,551066,976735,365232,376268,359043,1080450,715100,259398
1424603701000,603250,506555,552877,979254,366875,377669,360458,1082841,718515,260175
1424604601000,604891,508702,555468,985991,369284,380097,362696,1086125,723511,261660
1424605501000,606177,510337,557094,990350,370646,381630,364816,1089096,728399,262763
1424606401000,607572,512032,559333,995891,373788,383059,367281,1092580,733150,263915
1424607301000,608981,514077,561693,1000000,375734,384591,369065,1096084,739302,265077
